"en","fr","de","pt-BR","es"
"% complete","% terminé","% abgeschlossen","% completo","% completo"
"+ New Server","+ Nouveau serveur","+ Neuer Server","+ Novo servidor","+ Nuevo servidor"
"1 day","1 jour","1 Tag","1 dia","1 día"
"1 hour","1 heure","1 Stunde","1 hora","1 hora"
"1 minute","1 minute","1 Minute","1 minuto","1 minuto"
"1 year","1 an","1 Jahr","1 ano","1 año"
"10 minutes","10 minutes","10 Minuten","10 minutos","10 minutos"
"12 hours","12 heures","12 Stunden","12 horas","12 horas"
"15 min","15 min","15 Min","15 min","15 min"
"15 minutes","15 minutes","15 Minuten","15 minutos","15 minutos"
"15 seconds","15 secondes","15 Sekunden","15 segundos","15 segundos"
"1D2h30m","1D2h30m","1D2h30m","1D2h30m","1D2h30m"
"2 hours","2 heures","2 Stunden","2 horas","2 horas"
"2 minutes","2 minutes","2 Minuten","2 minutos","2 minutos"
"2 years","2 ans","2 Jahre","2 anos","2 años"
"20 minutes","20 minutes","20 Minuten","20 minutos","20 minutos"
"3 minutes","3 minutes","3 Minuten","3 minutos","3 minutos"
"30 min","30 min","30 Min","30 min","30 min"
"30 minutes","30 minutes","30 Minuten","30 minutos","30 minutos"
"30 seconds","30 secondes","30 Sekunden","30 segundos","30 segundos"
"4 hours","4 heures","4 Stunden","4 horas","4 horas"
"4 minutes","4 minutes","4 Minuten","4 minutos","4 minutos"
"5 min","5 min","5 Min","5 min","5 min"
"5 minutes","5 minutes","5 Minuten","5 minutos","5 minutos"
"587","587","587","587","587"
"6 hours","6 heures","6 Stunden","6 horas","6 horas"
"6 months","6 mois","6 Monate","6 meses","6 meses"
"A system alert has been triggered.","Une alerte système a été déclenchée.","Eine Systemwarnung wurde ausgelöst.","Um alerta do sistema foi acionado.","Se ha activado una alerta del sistema."
"A unique name for this server","Un nom unique pour ce serveur","Ein eindeutiger Name für diesen Server","Um nome exclusivo para este servidor","Un nombre único para este servidor"
"Access forbidden - You do not have permission","Accès interdit - Vous n'avez pas la permission","Zugriff verboten - Sie haben keine Berechtigung","Acesso proibido - Você não tem permissão","Acceso prohibido - No tiene permiso"
"Account created successfully","Compte créé avec succès","Konto erfolgreich erstellt","Conta criada com sucesso","Cuenta creada exitosamente"
"Action","Action","Aktion","Ação","Acción"
"Action Required","Action requise","Aktion erforderlich","Ação Necessária","Acción requerida"
"Actions","Actions","Aktionen","Ações","Acciones"
"Active","Actif","Aktiv","Ativo","Activo"
"Add","Ajouter","Hinzufügen","Adicionar","Añadir"
"Add Server","Ajouter un serveur","Server hinzufügen","Adicionar servidor","Agregar servidor"
"Add User","Ajouter un utilisateur","Benutzer hinzufügen","Adicionar usuário","Agregar usuario"
"Add, edit, and manage backup servers","Ajouter, modifier et gérer les serveurs de sauvegarde","Backup-Server hinzufügen, bearbeiten und verwalten","Adicionar, editar e gerenciar servidores de backup","Agregar, editar y administrar servidores de backup"
"Additional Destinations","Destinations supplémentaires","Zusätzliche Ziele","Destinos adicionais","Destinos adicionales"
"Additional Destinations Cleared","Destinations supplémentaires effacées","Zusätzliche Ziele gelöscht","Destinos adicionais limpos","Destinos adicionales borrados"
"Additional Emails","E-mails supplémentaires","Zusätzliche E-Mails","E-mails adicionais","Correos adicionales"
"Additional notes","Notes supplémentaires","Zusätzliche Notizen","Notas adicionais","Notas adicionales"
"Additional NTFY Topic","Sujet NTFY supplémentaire","Zusätzliches NTFY-Thema","Tópico NTFY adicional","Tema NTFY adicional"
"Admin","Admin","Admin","Admin","Admin"
"Admin user","Utilisateur administrateur","Administratorbenutzer","Usuário administrador","Usuario administrador"
"Affected Systems","Systèmes affectés","Betroffene Systeme","Sistemas Afetados","Sistemas afectados"
"Age","Âge","Alter","Idade","Antigüedad"
"Alert Type","Type d'alerte","Warntyp","Tipo de Alerta","Tipo de alerta"
"Alerts","Alertes","Warnungen","Alertas","Alertas"
"Alias","Alias","Alias","Alias","Alias"
"Alias of the server (server_name if not set)","Alias du serveur (server_name si non défini)","Alias des Servers (server_name, wenn nicht gesetzt)","Apelido do servidor (server_name se não definido)","Alias del servidor (server_name si no está configurado)"
"All","Tous","Alle","Todos","Todos"
"All actions","Toutes les actions","Alle Aktionen","Todas as ações","Todas las acciones"
"All available data","Toutes les données disponibles","Alle verfügbaren Daten","Todos os dados disponíveis","Todos los datos disponibles"
"all backups","toutes les sauvegardes","alle Sicherungen","todos os backups","todas las copias de seguridad"
"All categories","Toutes les catégories","Alle Kategorien","Todas as categorias","Todas las categorías"
"All Email","Tous les e-mails","Alle E-Mails","Todos os e-mails","Todos los correos"
"All NTFY","Toutes les NTFY","Alle NTFY","Todas as NTFY","Todas las NTFY"
"All Servers & Backups","Tous les serveurs et sauvegardes","Alle Server & Sicherungen","Todos os servidores e backups","Todos los servidores y copias de seguridad"
"All statuses","Tous les statuts","Alle Status","Todos os status","Todos los estados"
"Allowed Days","Jours autorisés","Erlaubte Tage","Dias permitidos","Días permitidos"
"Allowed Weekdays","Jours de la semaine autorisés","Erlaubte Wochentage","Dias da semana permitidos","Días de la semana permitidos"
"An unexpected error occurred","Une erreur inattendue s'est produite","Ein unerwarteter Fehler ist aufgetreten","Ocorreu um erro inesperado","Ocurrió un error inesperado"
"An unexpected error occurred during collection","Une erreur inattendue s'est produite lors de la collecte","Ein unerwarteter Fehler ist während der Sammlung aufgetreten","Ocorreu um erro inesperado durante a coleta","Ocurrió un error inesperado durante la recopilación"
"An unknown error occurred","Une erreur inconnue est survenue","Ein unbekannter Fehler ist aufgetreten","Ocorreu um erro desconhecido","Ocurrió un error desconocido"
"analytics view","vue analyse","Analyseansicht","visualização de análise","vista de análisis"
"and","et","und","e","y"
"API key generated successfully","Clé API générée avec succès","API-Schlüssel erfolgreich generiert","Chave API gerada com sucesso","Clave API generada exitosamente"
"API key regenerated successfully","Clé API régénérée avec succès","API-Schlüssel erfolgreich neu generiert","Chave API regenerada com sucesso","Clave API regenerada exitosamente"
"API key revoked successfully","Clé API révoquée avec succès","API-Schlüssel erfolgreich widerrufen","Chave API revogada com sucesso","Clave API revocada exitosamente"
"Application Logs","Journaux d'application","Anwendungsprotokolle","Logs da aplicação","Logs de aplicación"
"Application Logs Viewer","Visualiseur de journaux d'application","Anwendungsprotokoll-Viewer","Visualizador de logs do aplicativo","Visor de Logs de aplicación"
"Application Name","Nom de l'application","Anwendungsname","Nome do aplicativo","Nombre de la aplicación"
"Are you sure you want to logout?","Êtes-vous sûr de vouloir vous déconnecter?","Sind Sie sicher, dass Sie sich abmelden möchten?","Tem certeza de que deseja sair?","¿Está seguro de que desea cerrar sesión?"
"Are you sure?","Êtes-vous sûr?","Sind Sie sicher?","Tem certeza?","¿Está seguro?"
"At least  characters","Au moins  caractères","Mindestens  Zeichen","Pelo menos  caracteres","Al menos  caracteres"
"At least one lowercase letter","Au moins une lettre minuscule","Mindestens ein Kleinbuchstabe","Pelo menos uma letra minúscula","Al menos una letra minúscula"
"At least one number","Au moins un chiffre","Mindestens eine Zahl","Pelo menos um número","Al menos un número"
"At least one special character","Au moins un caractère spécial","Mindestens ein Sonderzeichen","Pelo menos um caractere especial","Al menos un carácter especial"
"At least one uppercase letter","Au moins une lettre majuscule","Mindestens ein Großbuchstabe","Pelo menos uma letra maiúscula","Al menos una letra mayúscula"
"Audit Log","Journal d'Audit","Audit-Log","Log de Auditoria","Log de Auditoría"
"Audit Log Details","Détails du journal d'audit","Audit-Log-Details","Detalhes do log de auditoria","Detalles del log de auditoría"
"Audit Log Retention","Rétention du journal d'audit","Audit-Log-Aufbewahrung","Retenção de log de auditoria","Retención del log de auditoría"
"Audit Log Viewer","Visualiseur de journal d'audit","Audit-Log-Viewer","Visualizador de log de auditoria","Visor de log de auditoría"
"Audit Log Viewer - Filters","Visualiseur de journal d'audit - Filtres","Prüfprotokoll-Viewer - Filter","Visualizador de log de auditoria - Filtros","Visor de log de auditoría - Filtros"
"Authentication Failed","Échec de l'authentification","Authentifizierung fehlgeschlagen","Autenticação falhou","Autenticación fallida"
"Auto Refresh","Actualisation automatique","Automatische Aktualisierung","Atualização automática","Actualización automática"
"Auto-generate secure password","Générer automatiquement un mot de passe sécurisé","Sicheres Passwort automatisch generieren","Gerar senha segura automaticamente","Generar automáticamente contraseña segura"
"Auto-refresh ()","Actualisation automatique ()","Automatische Aktualisierung ()","Atualização automática ()","Actualización automática ()"
"Auto-refresh (disabled)","Actualisation automatique (désactivée)","Automatische Aktualisierung (deaktiviert)","Atualização automática (desativada)","Actualización automática (desactivada)"
"Auto-refresh (loading)","Actualisation automatique (chargement)","Automatische Aktualisierung (Lädt...)","Atualização automática (carregando)","Actualización automática (cargando)"
"Auto-refresh Interval","Intervalle de rafraîchissement automatique","Automatische Aktualisierung","Intervalo de atualização automática","Intervalo de actualización automática"
"Auto-save Error","Erreur d'enregistrement automatique","Fehler beim automatischen Speichern","Erro de salvamento automático","Error de guardado automático"
"Auto-scroll","Défilement automatique","Automatisches Scrollen","Rolagem automática","Desplazamiento automático"
"Automatically refresh dashboard data","Actualiser automatiquement les données du tableau de bord","Dashboard-Daten automatisch aktualisieren","Atualizar automaticamente os dados do painel","Actualizar automáticamente los datos del panel"
"Available Backup Versions","Versions de sauvegarde disponibles","Verfügbare Sicherungsversionen","Versões de backup disponíveis","Versiones de backup disponibles"
"Available Space","Espace disponible","Verfügbarer Speicherplatz","Espaço Disponível","Espacio disponible"
"Available Versions","Versions disponibles","Verfügbare Versionen","Versões disponíveis","Versiones disponibles"
"Available versions at the time of the backup","Versions disponibles au moment de la sauvegarde","Verfügbare Versionen zum Zeitpunkt der Sicherung","Versões disponíveis no momento do backup","Versiones disponibles en el momento del backup"
"Average","Moyenne","Durchschnitt","Média","Promedio"
"Average Duration","Durée moyenne","Durchschnittliche Dauer","Duração média","Duración promedio"
"Avg. Duration","Durée moy.","Durchschn. Dauer","Duração méd.","Duración prom."
"Back","Retour","Zurück","Voltar","Atrás"
"Back Online","De retour en ligne","Wieder online","Online Novamente","De vuelta en línea"
"Back to Login","Retour à la connexion","Zurück zum Login","Voltar ao Login","Volver al inicio de sesión"
"backup","sauvegarde","Sicherung","backup","backup"
"Backup cancelled","Sauvegarde annulée","Sicherung abgebrochen","Backup cancelado","Backup cancelado"
"Backup Check Complete","Vérification des sauvegardes terminée","Backup-Prüfung abgeschlossen","Verificação de backups concluída","Verificación de backups completada"
