"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [fr]","Description [fr]","Part of Speech [fr]","Status [fr]","Type [fr]","Gender [fr]","Note [fr]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Term [pt-BR]","Description [pt-BR]","Part of Speech [pt-BR]","Status [pt-BR]","Type [pt-BR]","Gender [pt-BR]","Note [pt-BR]","Term [es-ES]","Description [es-ES]","Part of Speech [es-ES]","Status [es-ES]","Type [es-ES]","Gender [es-ES]","Note [es-ES]","Translatable"
"% complete",,"noun","preferred",,,,"% terminé",,"noun","preferred",,,,"% abgeschlossen",,"noun","preferred",,,,"% completo",,"noun","preferred",,,,"% completo",,"noun","preferred",,,,"Yes"
"+ New Server",,"noun","preferred",,,,"+ Nouveau serveur",,"noun","preferred",,,,"+ Neuer Server",,"noun","preferred",,,,"+ Novo servidor",,"noun","preferred",,,,"+ Nuevo servidor",,"noun","preferred",,,,"Yes"
"1 day",,"noun","preferred",,,,"1 jour",,"noun","preferred",,,,"1 Tag",,"noun","preferred",,,,"1 dia",,"noun","preferred",,,,"1 día",,"noun","preferred",,,,"Yes"
"1 hour",,"noun","preferred",,,,"1 heure",,"noun","preferred",,,,"1 Stunde",,"noun","preferred",,,,"1 hora",,"noun","preferred",,,,"1 hora",,"noun","preferred",,,,"Yes"
"1 minute",,"noun","preferred",,,,"1 minute",,"noun","preferred",,,,"1 Minute",,"noun","preferred",,,,"1 minuto",,"noun","preferred",,,,"1 minuto",,"noun","preferred",,,,"Yes"
"1 year",,"noun","preferred",,,,"1 an",,"noun","preferred",,,,"1 Jahr",,"noun","preferred",,,,"1 ano",,"noun","preferred",,,,"1 año",,"noun","preferred",,,,"Yes"
"10 minutes",,"noun","preferred",,,,"10 minutes",,"noun","preferred",,,,"10 Minuten",,"noun","preferred",,,,"10 minutos",,"noun","preferred",,,,"10 minutos",,"noun","preferred",,,,"Yes"
"12 hours",,"noun","preferred",,,,"12 heures",,"noun","preferred",,,,"12 Stunden",,"noun","preferred",,,,"12 horas",,"noun","preferred",,,,"12 horas",,"noun","preferred",,,,"Yes"
"15 min",,"noun","preferred",,,,"15 min",,"noun","preferred",,,,"15 Min",,"noun","preferred",,,,"15 min",,"noun","preferred",,,,"15 min",,"noun","preferred",,,,"Yes"
"15 minutes",,"noun","preferred",,,,"15 minutes",,"noun","preferred",,,,"15 Minuten",,"noun","preferred",,,,"15 minutos",,"noun","preferred",,,,"15 minutos",,"noun","preferred",,,,"Yes"
"15 seconds",,"noun","preferred",,,,"15 secondes",,"noun","preferred",,,,"15 Sekunden",,"noun","preferred",,,,"15 segundos",,"noun","preferred",,,,"15 segundos",,"noun","preferred",,,,"Yes"
"1D2h30m",,"noun","preferred",,,,"1D2h30m",,"noun","preferred",,,,"1D2h30m",,"noun","preferred",,,,"1D2h30m",,"noun","preferred",,,,"1D2h30m",,"noun","preferred",,,,"Yes"
"2 hours",,"noun","preferred",,,,"2 heures",,"noun","preferred",,,,"2 Stunden",,"noun","preferred",,,,"2 horas",,"noun","preferred",,,,"2 horas",,"noun","preferred",,,,"Yes"
"2 minutes",,"noun","preferred",,,,"2 minutes",,"noun","preferred",,,,"2 Minuten",,"noun","preferred",,,,"2 minutos",,"noun","preferred",,,,"2 minutos",,"noun","preferred",,,,"Yes"
"2 years",,"noun","preferred",,,,"2 ans",,"noun","preferred",,,,"2 Jahre",,"noun","preferred",,,,"2 anos",,"noun","preferred",,,,"2 años",,"noun","preferred",,,,"Yes"
"20 minutes",,"noun","preferred",,,,"20 minutes",,"noun","preferred",,,,"20 Minuten",,"noun","preferred",,,,"20 minutos",,"noun","preferred",,,,"20 minutos",,"noun","preferred",,,,"Yes"
"3 minutes",,"noun","preferred",,,,"3 minutes",,"noun","preferred",,,,"3 Minuten",,"noun","preferred",,,,"3 minutos",,"noun","preferred",,,,"3 minutos",,"noun","preferred",,,,"Yes"
"30 min",,"noun","preferred",,,,"30 min",,"noun","preferred",,,,"30 Min",,"noun","preferred",,,,"30 min",,"noun","preferred",,,,"30 min",,"noun","preferred",,,,"Yes"
